Condition,Values,Replicate
GC,165.9415,Rep3
GC,165.2239,Rep3
GC,150.5116,Rep3
GC,155.6429,Rep3
GC,191.9556,Rep3
GC,142.6072,Rep3
GC,140.3711,Rep2
GC,146.2669,Rep2
GC,145.148,Rep2
GC,144.6306,Rep2
GC,142.0426,Rep2
GC,138.845,Rep2
GC,144.9043,Rep1
GC,138.609,Rep1
GC,161.9491,Rep1
GC,145.2353,Rep1
GC,126.1963,Rep1
GC,136.6981,Rep1
TRPL,188.1581,Rep3
TRPL,152.8137,Rep3
TRPL,149.655,Rep3
TRPL,127.0408,Rep3
TRPL,105.7096,Rep3
TRPL,116.1688,Rep3
TRPL,156.4501,Rep2
TRPL,133.5987,Rep2
TRPL,141.6934,Rep2
TRPL,129.4115,Rep2
TRPL,137.1425,Rep2
TRPL,105.2269,Rep2
TRPL,106.7428,Rep1
TRPL,99.30804,Rep1
TRPL,97.50666,Rep1
TRPL,103.4369,Rep1
TRPL,97.08779,Rep1
TRPL,91.98689,Rep1
T1,57.01733,Rep3
T1,53.25116,Rep3
T1,38.35943,Rep3
T1,26.11511,Rep3
T1,17.55598,Rep3
T1,17.03136,Rep3
T1,51.51786,Rep2
T1,45.2848,Rep2
T1,37.59511,Rep2
T1,36.80121,Rep2
T1,38.5334,Rep2
T1,34.48684,Rep2
T1,25.99482,Rep1
T1,22.76629,Rep1
T1,28.75626,Rep1
T1,26.06836,Rep1
T1,19.1358,Rep1
T1,16.38384,Rep1
T2,155.8939,Rep3
T2,117.9277,Rep3
T2,96.91581,Rep3
T2,96.75422,Rep3
T2,103.0372,Rep3
T2,69.04953,Rep3
T2,98.88522,Rep2
T2,88.07738,Rep2
T2,88.37097,Rep2
T2,77.79171,Rep2
T2,72.55528,Rep2
T2,63.86321,Rep2
T2,74.81908,Rep1
T2,67.43479,Rep1
T2,82.85172,Rep1
T2,60.66298,Rep1
T2,59.0989,Rep1
T2,60.69999,Rep1
T3,198.3357,Rep3
T3,185.1181,Rep3
T3,175.7713,Rep3
T3,153.0005,Rep3
T3,173.3584,Rep3
T3,136.929,Rep3
T3,150.272,Rep2
T3,156.3269,Rep2
T3,126.7902,Rep2
T3,136.7798,Rep2
T3,141.9664,Rep2
T3,114.098,Rep2
T3,114.6934,Rep1
T3,122.4146,Rep1
T3,113.8176,Rep1
T3,156.2746,Rep1
T3,111.4365,Rep1
T3,104.3629,Rep1
T4,167.9798,Rep3
T4,159.3833,Rep3
T4,186.7594,Rep3
T4,116.7252,Rep3
T4,146.2587,Rep3
T4,122.3751,Rep3
T4,127.8237,Rep2
T4,171.3678,Rep2
T4,128.0932,Rep2
T4,114.6917,Rep2
T4,89.05643,Rep2
T4,103.2634,Rep2
T4,110.5044,Rep1
T4,103.411,Rep1
T4,94.91866,Rep1
T4,87.55256,Rep1
T4,74.7237,Rep1
T4,97.75847,Rep1
T5,87.79705,Rep3
T5,72.12368,Rep3
T5,81.68568,Rep3
T5,60.82012,Rep3
T5,51.81959,Rep3
T5,40.92631,Rep3
T5,63.4995,Rep2
T5,64.66626,Rep2
T5,71.83852,Rep2
T5,57.41227,Rep2
T5,56.26836,Rep2
T5,56.59809,Rep2
T5,48.52373,Rep1
T5,39.77033,Rep1
T5,47.16493,Rep1
T5,49.48502,Rep1
T5,39.90248,Rep1
T5,35.0518,Rep1
T6,117.2258,Rep3
T6,219.2252,Rep3
T6,111.139,Rep3
T6,84.57114,Rep3
T6,64.37078,Rep3
T6,93.4879,Rep3
T6,95.13518,Rep2
T6,120.0809,Rep2
T6,113.5997,Rep2
T6,170.3631,Rep2
T6,97.01579,Rep2
T6,112.9892,Rep2
T6,89.04643,Rep1
T6,99.7952,Rep1
T6,67.20222,Rep1
T6,157.6381,Rep1
T6,81.45423,Rep1
T6,76.88076,Rep1
