GC,TRPL,T1,T2,T3,T4,T5,T6
165.9415,188.1581,57.01733,155.8939,198.3357,167.9798,87.79705,117.2258
165.2239,152.8137,53.25116,117.9277,185.1181,159.3833,72.12368,219.2252
150.5116,149.655,38.35943,96.91581,175.7713,186.7594,81.68568,111.139
155.6429,127.0408,26.11511,96.75422,153.0005,116.7252,60.82012,84.57114
191.9556,105.7096,17.55598,103.0372,173.3584,146.2587,51.81959,64.37078
142.6072,116.1688,17.03136,69.04953,136.929,122.3751,40.92631,93.4879
140.3711,156.4501,51.51786,98.88522,150.272,127.8237,63.4995,95.13518
146.2669,133.5987,45.2848,88.07738,156.3269,171.3678,64.66626,120.0809
145.148,141.6934,37.59511,88.37097,126.7902,128.0932,71.83852,113.5997
144.6306,129.4115,36.80121,77.79171,136.7798,114.6917,57.41227,170.3631
142.0426,137.1425,38.5334,72.55528,141.9664,89.05643,56.26836,97.01579
138.845,105.2269,34.48684,63.86321,114.098,103.2634,56.59809,112.9892
144.9043,106.7428,25.99482,74.81908,114.6934,110.5044,48.52373,89.04643
138.609,99.30804,22.76629,67.43479,122.4146,103.411,39.77033,99.7952
161.9491,97.50666,28.75626,82.85172,113.8176,94.91866,47.16493,67.20222
145.2353,103.4369,26.06836,60.66298,156.2746,87.55256,49.48502,157.6381
126.1963,97.08779,19.1358,59.0989,111.4365,74.7237,39.90248,81.45423
136.6981,91.98689,16.38384,60.69999,104.3629,97.75847,35.0518,76.88076
