GC_0,GC NAC_0,GC PYO_0,TRPL_0,TRPL NAC_0,TRPL PYO_0,A9_2.5,A9_1,A9_0.5,AG1012_2.5,AG1012_1,AG1012_0.5,AG529_2.5,AG529_1,AG529_0.5,C19_2.5,C19_1,C19_0.5,AG879_2.5,AG879_1,AG879_0.5,EN300_2.5,EN300_1,EN300_0.5
0.93521,0.43365,6.456605*,1.016063,0.548148,26.98558*,1.068156,0.840507,0.796898,0.911624,0.910424,0.9232,0.91753,1.093808,1.056442,0.841481,0.867525,0.92619,0.692006,0.973673,0.814452,1.057645,0.87363,0.905329
0.920829,0.687871,9.647338*,0.946813,0.523319,26.77757*,0.717964,0.701973,0.910182,1.007459,0.956703,0.903549,1.061339,1.063046,1.083218,1.153705,0.981273,0.841495,0.73267,1.029793,0.955928,0.897153,0.887157,0.94972
1.000281,0.45234,9.55172*,1.08293,0.527782,29.2506*,0.928085,0.784274,0.92951,0.953149,0.931446,1.218748,1.082353,1.220415,1.056361,1.021659,1.000711,0.945895,0.992752,0.931872,0.999335,1.055682,0.938895,0.926613
0.999372,0.637834,14.49831*,1.038253,0.280084,31.82229*,0.96128,0.695101,0.885748,0.940903,1.027709,1.218748,1.113628,1.162398,1.208627,0.986075,0.978044,1.124966,0.845918,1.091555,1.020194,0.913717,1.123309,1.061423
1.490069,0.990722,12.81021*,0.91594,0.336807,32.42436*,0.499342,0.495067,0.612643,1.016689,1.048716,1.0818,1.28225,1.249887,1.214976,1.004712,0.8968,1.17836,0.868263,0.983834,0.997118,1.002857,0.923266,1.109594
1.170871,0.637558,11.03221*,0.835098,0.402606,28.99422*,0.934659,0.528128,0.616378,0.989494,1.128392,1.274477,1.254518,0.944385,1.115005,1.082987,1.011751,1.152088,0.714331,0.859724,0.994752,1.206322,1.192746,0.739133
,0.616965,11.1034*,1.035834,0.368888,27.30872*,0.771724,0.651073,0.6751,1.085758,1.227609,1.242382,1.295975,1.187152,1.279775,1.161178,1.227609,1.326888,0.726193,0.979492,1.13156,1.345591,0.868075,1.36566
1.206204,0.993385,12.96199*,0.88224,0.595707,29.60161*,0.788285,0.398962,0.859363,0.865719,0.946652,1.300677,1.216629,1.343855,1.59922,1.086946,0.934995,1.176997,0.975106,0.878114,0.868058,1.059066,0.957474,1.093169
1.295113,0.719718,16.7305*,1.210048,0.66256,34.48285*,1.090748,0.551053,0.691047,0.838285,1.145069,0.985183,1.288543,1.044538,1.179273,0.855691,0.81225,1.155062,0.623693,0.925327,0.785826,0.995921,0.871109,0.976763
1.640529,,,1.03678,,,0.776805,0.491631,0.777971,1.020168,1.084092,1.411657,1.397634,0.986641,1.372495,0.789407,1.038787,1.201808,0.543688,0.811444,1.288688,0.924061,0.953769,1.025246
0.924669,,,0.889964,,,0.851401,0.55091,0.61852,1.032061,1.221555,1.265343,1.292256,1.061698,1.33639,1.006501,1.037286,1.262557,0.699408,1.169362,1.172593,1.010592,1.01451,1.050974
1.144694,,,0.986632,,,0.694833,0.472068,0.9038,0.920651,1.038507,1.181348,1.553273,0.8053,1.062726,0.811396,0.961871,1.086999,0.72386,1.077508,1.074985,0.87753,0.836338,1.046726
1.153743,,,1.051382,,,,,,,,,,,,,,,,,,,,
1.13331,,,1.008089,,,,,,,,,,,,,,,,,,,,
1.229526,,,1.063933,,,,,,,,,,,,,,,,,,,,
